Platform	Name	Entity	Last IP address	Device model	Device type	OS version and architecture	OS name	Total RAM [bytes]	CPU model	Hard disks	DXS - Device (DXS - Device)	DXS - Web browsing (DXS - Web browsing)	DXS - Security (DXS - Security)	DXS - Productivity (DXS - Productivity)	DXS - Business apps (DXS - Business apps)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)
Windows	1KBKING-D1	Houston - 910 Corp (TX)	10.132.28.114	OptiPlex 9010	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	8589934592	Intel Core i7-3770 CPU @ 3.40GHz	Seagate (232.9GB, 100% S.M.A.R.T.)											
Windows	1KBSINGLETO-D1	Houston - 910 Corp (TX)	10.133.28.51	OptiPlex 9010	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	8589934592	Intel Core i7-3770 CPU @ 3.40GHz	Seagate (232.9GB, 100% S.M.A.R.T.)											
Windows	1KJBRANDENB-D1	Houston - 910 Corp (TX)	10.132.36.94	OptiPlex 9010	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	12884901888	Intel Core i7-3770 CPU @ 3.40GHz	Seagate (232.9GB, 100% S.M.A.R.T.)											
Windows	1KMKUMAR-D1	Houston - 910 Corp (TX)	10.132.36.89	OptiPlex 9010	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	8589934592	Intel Core i7-3770 CPU @ 3.40GHz	Seagate (232.9GB, 100% S.M.A.R.T.)											
Windows	1KMMEJIA-D1	Houston - 910 Corp (TX)	10.132.253.36	OptiPlex 990	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	12884901888	Intel Core i5-2400 CPU @ 3.10GHz	Seagate (232.9GB, 100% S.M.A.R.T.)											
Windows	1KMMEJIA-L1	-	73.115.151.178	Latitude E6520	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-2520M CPU @ 2.50GHz	Samsung (119.2GB, 90% S.M.A.R.T.), HP OfficeJet Pro 69 USB Device (0B), Verbatim STORE N GO USB Device (7.3GB), Western Digital (931.5GB)											
Windows	1KSDASARA-D1	Houston - 910 Corp (TX)	10.133.28.58	OptiPlex 9010	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	8589934592	Intel Core i7-3770 CPU @ 3.40GHz	Seagate (232.9GB, 60% S.M.A.R.T.)	0	10	10	10	8.5252	10	10	10	10		10
Windows	1KSGORANTLA-D2	Houston - 910 Corp (TX)	10.132.28.94	OptiPlex 9010	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	8589934592	Intel Core i7-3770 CPU @ 3.40GHz	Seagate (232.9GB, 100% S.M.A.R.T.)											
Windows	1KTLAM-D1	Houston - 910 Corp (TX)	10.132.253.57	OptiPlex 9010	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	8589934592	Intel Core i7-3770 CPU @ 3.40GHz	Seagate (232.9GB, 100% S.M.A.R.T.)											
Windows	910DS-D10E	Houston - 910 Corp (TX)	10.132.76.42	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	10		10		8.50131	10	10	10	10		10
Windows	910DS-D10W	Houston - 910 Corp (TX)	10.132.76.43	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	10		10		8.33984	10	10	10	10		10
Windows	910DS-D11E	Houston - 910 Corp (TX)	10.132.84.42	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	10		10		8.51699	10	10	10	10		10
Windows	910DS-D11W	Houston - 910 Corp (TX)	10.132.84.80	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	6.47413		10	9.30974	8.53131	10	10	10	10		10
Windows	910DS-D12E	Houston - 910 Corp (TX)	10.132.92.46	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	10		10		8.59217	10	10	10	10		10
Windows	910DS-D12W	Houston - 910 Corp (TX)	10.132.92.47	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	10		10		8.53495	10	10	10	10		10
Windows	910DS-D13E	Houston - 910 Corp (TX)	10.132.213.43	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	10		10		8.51819	10	10	10	10		10
Windows	910DS-D13W	Houston - 910 Corp (TX)	10.132.100.43	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	10		10		8.59011	10	10	10	10		10
Windows	910DS-D14E	Houston - 910 Corp (TX)	10.132.108.42	OptiPlex 7050	desktop	Windows 10 Enterprise 1809 (64 bits)	Windows 10	17179869184	Intel Core i7-7700T CPU @ 2.90GHz	Toshiba (465.8GB, 100% S.M.A.R.T.)	10		10		8.5936	10	10	10	10		10
